qiymet,otaqlar,sahe,mertebe,erazi,sheher,gun ve vaxt,parsed_at
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:38:06.290481
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:38:06.290918
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:38:06.291354
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:38:06.291813
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:38:06.292260
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:38:06.292696
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:38:06.293117
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:38:06.293540
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:38:06.293932
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:38:06.294330
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:38:06.294794
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:38:06.295222
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:06.295631
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:06.296087
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:38:06.296590
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:38:06.297043
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:38:06.297593
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:38:06.298223
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:38:06.298613
